ud,he,d,woman
0,22.575,1,0
0,27.47143,1,0
0,19.23,1,0
0,13.46,1,0
0,32.97143,1,0
0,14.32727,1,0
2.076923,0,0,0
0,42.73333,1,0
0,36.05,1,0
0,19.84,1,0
0,6.8,1,0
0,25.64444,1,0
0,22.3,1,0
0,19.6,1,0
0,12.4,1,0
0,17.475,1,0
0,14.425,1,0
0,21.72,1,0
0,12.01389,1,0
0,13.95,1,0
0,13.24444,1,0
0,41.2,1,0
0,38.46,1,0
0,8.65,1,0
0,32.3,1,0
0,26.92,1,0
0,16,1,0
0,19.3,1,0
0,18.08,1,0
0,33.65,1,0
0,10,1,0
1.846154,0,0,0
0,17.75,1,0
0,18.04445,1,0
0,25.45,1,0
0,33.24,1,0
0,14.425,1,0
0,18,1,0
0,9.27,1,0
0,11,1,0
0,19.7125,1,0
0,18,1,0
0,15.24,1,0
0,20.05263,1,0
0,38.46,1,0
0,17.44,1,0
0,20.2,1,0
0,15.625,1,0
0,35,1,0
0,15.4,1,0
0,16.25,1,0
0,10,1,0
0,12.5,1,0
0,25.52,1,0
0,7,1,0
0,10.79,1,0
0,30.77778,1,0
0,28,1,0
0,17.77778,1,0
0,25.64,1,0
0,9.85,1,0
0,9.5,1,0
0,17.61667,1,0
0,37.5,1,0
0,26.17778,1,0
0,15.625,1,0
0,23.08,1,0
0,34.96363,1,0
0,24.05,1,0
0,7,1,0
0,17.44,1,0
0,11.05,1,0
0,6.725,1,0
0,10.75,1,0
0,16.03333,1,0
0,19.62,1,0
0,21.45,1,0
0,9.26,1,0
0,25.95,1,0
0,18.91667,1,0
0,17.3,1,0
0,11.53333,1,0
0,16.3,1,0
0,13.94737,1,0
0,38.46,1,0
0,25.95,1,0
0,12,1,0
0,48.075,1,0
0,30.22222,1,0
0,17.63333,1,0
0,17.3,1,0
0,16.98333,1,0
0,18.125,1,0
0,23,1,0
0,29.97143,1,0
0,13.84,1,0
0,44,1,0
0,36.28,1,0
0,25.95,1,0
0,8.166667,1,0
0,21.16,1,0
0,32.05,1,0
0,12,1,0
0,16.82,1,0
0,20,1,0
0,7,1,0
0,29.48333,1,0
0,23.62857,1,0
0,12.3,1,0
15,0,0,0
0,17,1,0
0,22.5,1,0
0,30.62,1,0
0,15.92857,1,0
0,9,1,0
0,26.45,1,0
0,22.4,1,0
0,26.2,1,0
0,26.21818,1,0
0,16.66667,1,0
0,16.825,1,0
0,14.16667,1,0
0,12,1,0
0,15,1,0
0,12.91667,1,0
0,19.25,1,0
0,23.075,1,0
0,9.575,1,0
0,16.825,1,0
0,16.25,1,0
0,37,1,0
0,19.22917,1,0
0,24.77778,1,0
0,24.05,1,0
0,40.17778,1,0
0,16.66667,1,0
0,24.0375,1,0
0,22.7,1,0
0,7.55,1,0
9,0,0,0
0,13.33333,1,0
0,28.84,1,0
0,25.16364,1,0
0,31.25,1,0
0,14,1,0
0,26.21818,1,0
0,29.91111,1,0
0,20.775,1,0
0,9,1,0
0,29.8,1,0
0,16,1,0
0,16.46,1,0
0,26.45,1,0
0,4.25,1,0
0,16.35,1,0
0,16.825,1,0
0,26.92,1,0
6,0,0,0
0,17.04445,1,0
0,8,1,0
0,9.090909,1,0
0,16.36364,1,0
0,18,1,0
0,2.875,1,0
0,13.6579,1,0
0,26.56,1,0
0,19.42424,1,0
0,44.86666,1,0
0,25,1,0
0,16.825,1,0
0,20,1,0
0,21.4,1,0
0,30.775,1,0
0,12.3,1,0
0,10.79,1,0
0,30.76667,1,0
0,25,1,0
0,18.84,1,0
0,20.44444,1,0
0,26.92308,1,0
0,2.3,1,0
0,21.625,1,0
0,8,1,0
0,14.1,1,0
0,27,1,0
0,16,1,0
0,27,1,0
0,21.15,1,0
0,18,1,0
0,22.225,1,0
0,11,1,0
0,32.04445,1,0
0,24.5,1,0
0,21.46667,1,0
0,32,1,0
0,23.08,1,0
0,26.75,1,0
0,7.55,1,0
0,15.69333,1,0
0,38.45,1,0
0,24.525,1,0
0,17.81482,1,0
0,20.65,1,0
0,38.46,1,0
0,26.425,1,0
0,30,1,0
0,15.625,1,0
0,6.25,1,0
0,18.75,1,0
0,37.5,1,0
0,15.15,1,0
0,27.2,1,0
0,15.575,1,0
0,15.57143,1,0
0,34.96363,1,0
0,44.7,1,0
0,33.175,1,0
0,27.13333,1,0
0,38.46,1,0
0,15.38,1,0
0,17.71053,1,0
0,29.275,1,0
0,24.03333,1,0
0,24.71428,1,0
0,15.38,1,0
0,24.17333,1,0
0,20,1,0
0,27.51,1,0
0,14.9,1,0
0,21.56757,1,0
0,18,1,0
0,25.475,1,0
0,12.5,1,0
0,28.85,1,0
0,18.45714,1,0
0,38.46,1,0
0,14.25,1,0
0,11.43396,1,0
0,17.3,1,0
0,25.64444,1,0
0,27.7,1,0
6.692307,0,0,0
0,21.02326,1,0
0,14.24,1,0
0,18.46,1,0
0,21.77778,1,0
0,23.08,1,0
0,20,1,0
0,13.29091,1,0
0,24.05,1,0
0,15,1,0
0,19,1,0
0,23.06667,1,0
0,11,1,0
0,23.075,1,0
0,38.46,1,0
0,27.5,1,0
0,25.175,1,0
0,43.125,1,0
0,15,1,0
0,27.47143,1,0
0,19.225,1,0
0,27.4,1,0
0,32.05,1,0
0,8.2,1,0
0,34.33333,1,0
0,19.22222,1,0
0,16.825,1,0
0,10.30357,1,0
0,15,1,0
0,24.03333,1,0
0,8.888889,1,0
0,15,1,0
0,35.94231,1,0
0,15,1,0
0,27.47143,1,0
0,19,1,0
0,25,1,0
0,7.5,1,0
0,19.24,1,0
0,20.475,1,0
0,23.08,1,0
0,11.54,1,0
0,14,1,0
0,23.33333,1,0
0,28.83333,1,0
0,16,1,0
0,22.6,1,0
0,19,1,0
0,15.8,1,0
0,4.325,1,0
0,14,1,0
0,15,1,0
0,15,1,0
0,12.5,1,0
0,14.76,1,0
0,14.76,1,0
0,10.76667,1,0
0,38.46,1,0
0,14.7,1,0
