0.5368,0.0285,0.6010,0.0868,0.6236,0.0823,0.5703,0.0707,0.5667,0.0655,0.5703,0.0459
0.1174,0.1210,0.1189,0.1233,0.1188,0.1033,0.4973,0.0806,0.7485,0.1026,0.7977,0.1019
3.3309,0.0184,3.3166,0.0138,3.3306,0.0188,0.1080,0.1025,0.1080,0.1610,0.1080,0.0774
0.5664,0.0257,0.5279,0.0238,0.5689,0.0256,0.1340,0.1147,0.1340,0.0984,0.1340,0.0628
2.9686,0.0000,12.5443,0.0996,3.3377,0.0416,3.3292,0.0262,3.3168,0.0198,3.3292,0.0175
0.5894,0.0228,0.9180,0.0561,0.3387,0.0442,0.5681,0.0366,0.5260,0.0212,0.5681,0.0250
nan,6490.0845,nan,6489.2718,39.3736,0.1691,2.9884,0.0472,18.0916,0.1854,3.3490,0.0247
nan,0.0000,nan,0.0000,0.3987,0.2434,0.5740,0.0403,0.7988,0.1156,0.3392,0.0447
nan,nan,nan,nan,nan,6448.1143,nan,6484.2396,nan,6487.6941,60.0461,0.1526
nan,nan,nan,nan,nan,0.1117,nan,0.0000,nan,0.0000,0.4278,0.1250
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6444.9829
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000
