0.2200,1.0000,0.2200,1.0000,0.2200,1.0000,0.1800,1.0000,0.1800,1.0000,0.1800,1.0000
0.0052,1.0000,0.0052,1.0000,0.0052,1.0000,0.2800,1.0000,0.2800,1.0000,0.2800,1.0000
4.3210,1.8777,3.9853,1.0093,3.8968,0.9748,0.0030,1.0000,0.0030,1.0000,0.0030,1.0000
0.5232,0.8351,1.0904,0.2317,0.9727,0.2740,0.0077,1.0000,0.0077,1.0000,0.0077,1.0000
5.0173,2.2116,0.1763,0.4282,3.5309,0.9999,3.5938,0.9693,3.7486,0.9769,3.8968,0.9748
0.7874,0.8098,0.2904,0.9785,2.3990,0.3153,0.8083,0.2625,1.4340,0.2733,0.9727,0.2740
nan,0.0000,nan,0.0000,5.5798,0.9834,3.4712,1.0010,2.8106,0.9898,3.5309,0.9999
nan,nan,nan,nan,0.4577,0.9958,0.4230,1.0000,0.4915,0.9996,2.3990,0.3153
nan,nan,nan,nan,nan,0.0000,nan,0.0000,nan,0.0000,5.5798,0.9834
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4577,0.9958
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0000
